DriveStart,PlayNum,SideOfField,YardLine,PenaltyType,QBLoc,PlayType,PlaySide,OffPersonnel,MenInBox,QB,BallCarrier,YardsBeforeContact,BTK,CatchSnap,ReleaseThrow,TimeReceiveBall,TimeFirstTouch,YardsGained,Misc,ThrowResult,ThrowType,DepthofTarg,Receiver,PA?,RecAlignment,Route,YardsAfterCatch,TimeToThrow,TimeBeforeContact,Notes
,4,JCU,30,,Pistol,Pass Attempt,L,11,6,5,,,,2.96,5.85,,,8,,Catch,OnTarg,2,34,PA,RB Right,Out,6,2.89,0,
,9,JCU,30,,Pistol,Pass Attempt,L,11,7,5,,,,3.02,4.21,,,7,,Catch,OnTarg,-2,4,PA,Slot Left,Bubble Screen,9,1.19,0,
,10,JCU,30,,Pistol,Run,M,11,7,5,34,-2,,,,2.27,3.14,-2,,,,,,,,,No Catch,0,0.87,
Last set of 21,1,JCU,30,,Pistol,Run,M,11,7,5,34,4,,,,4.92,6.12,15,,,,,,,,,No Catch,0,1.2,
,2,JCU,40,,Pistol,Sack,,11,6,5,,,,5.33,7.95,,,-7,,,,,,,,,No Catch,2.62,0,
,3,NEU,50,,Pistol,Pass Attempt,R,11,6,5,,,,7.27,11.68,,,3,,Catch,OnTarg,3,14,No,Wide Left,Drag,0,4.41,0,
,4,OPP,40,,Pistol,Pass Attempt,L,11,7,5,,,,3.28,4.4,,,0,,Incomplete,Errant,-1,4,PA,Slot Left,Bubble Screen,No Catch,1.12,0,
,5,OPP,30,,Under,Pass Attempt,R,11,6,5,,,,1.7,4.35,,,7,,Catch,OnTarg,3,82,PA,Tight Right,Chip n Release,4,2.65,0,
,6,OPP,20,,Pistol,Pass Attempt,L,11,6,5,,,,3.56,4.98,,,2,,Catch,OnTarg,2,34,No,RB Left,Out,0,1.42,0,
,13,JCU,30,,Pistol,Pass Attempt,R,11,7,5,,,,8.91,11.3,,,13,,Catch,OnTarg,13,6,No,Wide Right,Curl,0,2.39,0,
,15,NEU,50,,Under,Pass Attempt,R,11,7,5,,,,1.13,4.93,,,0,,Incomplete,Underthrown,20,4,PA,Slot Left,Drag,No Catch,3.8,0,
,16,OPP,40,,Pistol,Pass Attempt,R,11,6,5,,,,4.43,5.97,,,5,,Catch,OnTarg,4,6,No,Wide Right,In,1,1.54,0,
,17,OPP,30,,Pistol,Run,L,11,7,5,34,2,,,,2.81,5.1,3,,,,,,,,,No Catch,0,2.29,
,18,OPP,20,,Pistol,Pass Attempt,M,11,6,5,,,,4.16,6.23,,,0,,Incomplete,Errant,20,4,No,Slot Right,Go,No Catch,2.07,0,
Last set of 10,1,OPP,30,,Pistol,Run,M,11,6,5,34,5,,,,10.06,12.72,10,,,,,,,,,No Catch,0,2.66,
,2,OPP,30,,Pistol,Pass Attempt,,12,7,5,,,,11.39,14.39,,,0,,Incomplete,ThrowAway,,,PA,,,No Catch,3,0,
,3,OPP,20,,Pistol,Run,M,12,9,5,34,-2,,,,8.21,9.15,-2,,,,,,,,,No Catch,0,0.94,
,4,OPP,20,,Pistol,Pass Attempt,R,11,6,5,,,,34.51,37.25,,,0,,Incomplete,Errant,8,14,No,Wide Left,Drag,No Catch,2.74,0,
,5,OPP,10,,Pistol,Pass Attempt,L,11,8,5,,,,9.96,11.35,,,0,,Incomplete,OnTarg,10,14,No,Wide Left,Fade,No Catch,1.39,0,
Last 24,1,JCU,30,,Pistol,Run,M,11,6,5,34,2.5,,,,14.31,15.77,3,,,,,,,,,No Catch,0,1.46,
,2,JCU,33,,Pistol,Sack,,11,7,5,,,,8.96,12.01,,,-8,,,,,,PA,,,No Catch,3.05,0,
,3,JCU,33,,Pistol,Sack,,10,6,5,,,,8.62,10.21,,,-7,,,,,,No,,,No Catch,1.59,0,
,4,JCU,34,,Pistol,Run,R,11,7,5,34,-4,,,,22.32,22.67,5,,,,,,,,,No Catch,0,0.35,
,5,JCU,35,,Pistol,Run,M,11,6,5,34,0.5,,,,5.62,6.64,2,,,,,,,,,No Catch,0,1.02,
,6,JCU,40,,Pistol,Run,L,11,7,5,34,-2,,,,23.69,25.04,-2,,,,,,,,,No Catch,0,1.35,
,13,JCU,30,,Pistol,Pass Attempt,L,11,6,5,,,,10.33,11.86,,,4,,Catch,OnTarg,4,82,No,Slot Left,Out,0,1.53,0,
,14,JCU,35,,Pistol,Pass Attempt,M,11,6,5,,,,7.04,8.79,,,6,,Catch,OnTarg,5,14,No,Wide Left,Hook,1,1.75,0,
,15,JCU,40,,Pistol,Run,R,11,6,5,34,-0.5,,,,9.21,10.54,0,,,,,,,,,No Catch,0,1.33,
,16,JCU,40,,Pistol,Pass Attempt,L,11,7,5,,,,8.47,11.08,,,5,,Catch,OnTarg,3,4,No,Slot Right,Drag,2,2.61,0,
,17,JCU,45,,Pistol,Pass Attempt,R,11,7,5,,,,10.04,11.41,,,8,,Catch,OnTarg,7,6,No,Wide Right,Hook,1,1.37,0,
,18,OPP,48,,Pistol,Run,M,12,8,5,34,0,,,,15.9,17.53,1,,,,,,,,,No Catch,0,1.63,
